Analisis Kimia Kuantitatif Edisi 6,Text,,979-688-241-8,Penerbit Erlangga,2001,,,,Indonesia,jakarta,NONE,,,,"<R. A. Day, Jr.><A. L. Underwood>",,<10769><10770><10771>
Matematika Pengembangan Pengajar Edisi 6 Jilid 2,Text,,978-979-033-438-0,Penerbit Erlangga,2006,,,,Indonesia,jakarta,NONE,,,,<John A. Vande Walle>,,<10766><10767><10768>
Mikroekonomi Edisi 8,Text,,978-602-241-751-4,Penerbit Erlangga,2012,,,,Indonesia,jakarta,NONE,,,,<Robert S. Pindyck><Daniel L. Rubinfeld>,,<10763><10764><10765>
Makroekonomi Edisi 6,Text,,978-602-434-230-2,Penerbit Erlangga,2014,,,,Indonesia,jakarta,NONE,,,,<Olivier Blanchard><David R. Johnson>,,<10760><10761><10762>
Pembangunan Ekonomi Edisi 11 Jilid 2,Text,,978-602-241-131-4,Penerbit Erlangga,2011,,,,Indonesia,jakarta,NONE,,,,<Michael Todaro><Stephen C. Smith>,,<10757><10758><10759>
Pembangunan Ekonomi Edisi 11 Jilid 1,Text,,978-602-241-130-7,Penerbit Erlangga,2011,,,,Indonesia,jakarta,NONE,,,,<Michael Todaro><Stephen C. Smith>,,<10754><10755><10756>
Otonomi Daerah Edisi 3,Text,,978-602-298-187-9,Penerbit Erlangga,2014,,,,Indonesia,jakarta,NONE,,,,"<Prof. Mudrajad Kuncoro, Ph.D>",,<10751><10752><10753>
Sistem Ekonomi Indonesia,Text,,978-602-298-262-3,Penerbit Erlangga,2014,,,,Indonesia,jakarta,NONE,,,,<Munawar Ismail><Dwi Budi Santosa><Ahmad Erani Yustika>,,<10748><10749><10750>
Perekonomian Indonesia Pasca Reformasi,Text,,978-602-298-812-0,Penerbit Erlangga,2016,,,,Indonesia,jakarta,NONE,,,,<Amir Machmud>,,<10745><10746><10747>
Ekonomi Internasional,Text,,978-602-298-261-6,Penerbit Erlangga,2014,,,,Indonesia,jakarta,NONE,,,,<Mahyus Ekananda>,,<10742><10743><10744>
Kimia Dasar Konsep - Konsep Inti Edisi 3 Jilid 1,Text,,979-781-039-9,Penerbit Erlangga,2004,,,,Indonesia,jakarta,NONE,,,,<Raymond Chang>,,<10718><10740><10741>
Kimia Dasar Konsep - Konsep Inti Edisi 3 Jilid 2,Text,,979-781-040-2,Penerbit Erlangga,2004,,,,Indonesia,jakarta,NONE,,,,<Raymond Chang>,,<10719><10720><10739>
Kimia Dasar Prinsip - Prinsip dan Aplikasi Modern Edisi 9 Jilid 3,Text,,978-602-241-162-8,Penerbit Erlangga,2008,,,,Indonesia,jakarta,NONE,,,,<Petrucci><Harwood><Herring><Madura>,,<10722><10723><10738>
Kimia Dasar Prinsip - Prinsip dan Aplikasi Modern Edisi 9 Jilid 1,Text,,978-979-075-889-6,Penerbit Erlangga,2008,,,,Indonesia,jakarta,NONE,,,,<Petrucci><Harwood><Herring><Madura>,,<10721><10736><10737>
Fisika Prinsip dan Aplikasi Edisi 7 Jilid 2,Text,,978-602-298-433-7,Penerbit Erlangga,2014,,,,Indonesia,jakarta,NONE,,,,<Douglas C.><Giancoli>,,<10724><10725><10735>
"Fisika Dasar, Edisi 7 Jilid 1",Text,,978-979-099-327-3,Penerbit Erlangga,2010,,,,Indonesia,jakarta,NONE,,,,<David Halliday><Robert Resnick><Jearl Walker>,,<10726><10727><10734>
Fisika Dasar Edisi 7 Jilid 3,Text,,978-602-241-736-1,Penerbit Erlangga,2010,,,,Indonesia,jakarta,NONE,,,,<David Halliday><Robert Resnick><Jearl Walker>,,<10731><10732><10733>
Fisika Dasar Edisi 7 Jilid 2,Text,,978-602-241-595-4,Penerbit Erlangga,2010,,,,Indonesia,jakarta,NONE,,,,<David Halliday><Robert Resnick><Jearl Walker>,,<10728><10729><10730>
Berpikir Matematis,Text,,978-602-298-279-1,Penerbit Erlangga,2015,,,,Indonesia,jakarta,NONE,,,,<Wono Setya Budhi><Bana G. Kartasasmita>,,<10715><10716><10717>
Koperasi dan Umkm,Text,,978-602-434-231-9,Penerbit Erlangga,2017,,,,Indonesia,jakarta,NONE,,,,<M. AZrul Tanjung>,,<10712><10713><10714>
Kalkulus Edisi 13 Jilid 1,Text,,978-602-434-389-7,Penerbit Erlangga,2014,,,,Indonesia,jakarta,NONE,,,,"<George B. Thomas, Jr><Maurice D.. Weir><Joel Hass><Christopher Heil>",,<10710><10711>
Kalkulus Edisi 9 Jilid 1,Text,,978-979-033-973-8,Penerbit Erlangga,2010,,,,Indonesia,jakarta,NONE,,,,<purcell><Rigdon><Varberg>,,<10704><10705><10706>
Kalkulus Edisi 9 Jilid 2,Text,,978-979-099-154-5,Penerbit Erlangga,2011,,,,Indonesia,jakarta,NONE,,,,<purcell><Rigdon><Varberg>,,<10707><10708><10709>
Schaum's Kalkulus Lanjutan Edisi 2,Text,,978-979-015-673-9,Penerbit Erlangga,2006,,,,Indonesia,jakarta,NONE,,,,"<Robert Wrede, Ph.D.><Murray R. Spiegel, Ph.D.>",,<10701><10702><10703>
Schaum's Kalkulus Edisi 4,Text,,979-781-367-3,Penerbit Erlangga,2004,,,,Indonesia,jakarta,NONE,,,,"<Frank Ayres,Jr., Ph.D><Elliot Mendelson, Ph.D>",,<10698><10699><10700>
Schaum's TTS Fisika Modern Edisi 2,Text,,979-781-824-1,Penerbit Erlangga,2006,,,,Indonesia,jakarta,NONE,,,,"<Ronald Gautreau, Ph.D><William Savin, Ph.D>",,<10695><10696><10697>
Biologi Edisi 2,Text,,979-781-713-X,Penerbit Erlangga,2006,,,,Indonesia,jakarta,NONE,,,,"<George H. Fried, Ph.D.><George J.Hademenos, Ph.D.>",,<10694>
Ilmu Bumi,Text,,978-602-434-434-4,Penerbit Erlangga,2015,,,,Indonesia,jakarta,NONE,,,,<Edward J. Tarbuck><Frederick K. Lutgens>,,<10690><10691><10692>
Jejak Langkah Pak Harto,Text,,979-8085-09-4,PT. Citra Lamtogo Gung Persada,1993,Biografi,,,Indonesia,jakarta,NONE,,,,,,<10689>
Jejak Langkah Pak Harto 28 Maret 1968 - 23 Maret 1973,Text,,979-8085-04-3,PT. Citra Lamtogo Gung Persada,1991,Biografi,,,Indonesia,jakarta,NONE,,,,,,<10685><10688>
Jejak Langkah Pak Harto 16 Maret 1983 - 11 Maret 1988,Text,,979-8085-13-2,PT. Citra Lamtogo Gung Persada,1993,Biografi,,,Indonesia,jakarta,NONE,,,,,,<10687>
Jejak Langkah Pak Harto 27 Maret 1973 - 23 Maret 1978,Text,,979-8085-07-8,PT. Citra Lamtogo Gung Persada,1993,Biografi,,,Indonesia,jakarta,NONE,,,,,,<10686>
Siti Hartinah Soeharto Ibu Utama Indonesia,Text,,979-8085-12-4,PT. Citra Lamtogo Gung Persada,1993,Biografi,,,Indonesia,jakarta,NONE,,,,<Abdul Gafur>,,<10684>
"Raeni: Mengayuh Asa, Menggapai Mimpi Raeni",Text,,978-602-72110-3-2,Metagraf Creative Imprint of Tiga Serangai,2015,Inspirasi,,,Indonesia,Solo,NONE,,,,,,<10682><10683>
"Menjelajah Dunia, Mendidik Indonesia",Text,,978-602-6328-39-7,Metagraf Creative Imprint of Tiga Serangai,2017,Inspirasi,,,Indonesia,Solo,NONE,,,,<Rus>,,<10679><10680><10681>
Jokowi Memimpin Kota Menyentuh Jakarta,Text,,978-602-9212-50-1,Metagraf Creative Imprint of Tiga Serangai,2014,Biografi,,,Indonesia,Solo,NONE,,,,<Alberthiene Endah>,,<10676><10677><10678>
Building a Meaningbul Startup,Text,,978-602-6328-00-7,Metagraf Creative Imprint of Tiga Serangai,2016,Inspirasi,,,Indonesia,Solo,NONE,,,,<Brilliant Yotenega>,,<10674><10675>
Arief Rahman Guru,Text,,978-602-7596-99-3,Penerbit Erlangga,2015,Biografi,,,Indonesia,jakarta,NONE,,,,<Ukim Komarudin>,,<10669><10670><10671><10672><10673>
Andi Oktavian Latief sang Fenomena dari Pamekasan Madura,Text,,,,,Biografi,,,Indonesia,"Pamekasan,Madura",NONE,,,,<Budi Waluyo><Sunarno>,,<10661><10662><10663><10664><10665><10666><10667><10668>
"Hiasan Unik dan Asyik Potong, Lipat, Lalu Pasang!",Text,,978-979-045-803-1,Tiga Ananda Creative Imprint of Tiga Serangkai,2014,Keterampilan,,,Indonesia,Solo,NONE,,,,,,<10658><10659><10660>
Kupas Tuntas Obesitas,Text,,978-602-6328-30-4,Metagraf Creative Imprint of Tiga Serangai,2017,Kesehatan,,,Indonesia,Solo,NONE,,,,<dr. nad>,,<10655><10656><10657>
How To Become A Great Freshgraduate,Text,,978-602-257-382-1,Metagraf Creative Imprint of Tiga Serangai,2014,Karir,,,Indonesia,Solo,NONE,,,,<Ardiningtiyas Pitaloka>,,<10650><10651><10652>
20 Quetes Rasullullah,Text,,978-602-366-153-4,Tiga Ananda Creative Imprint of Tiga Serangkai,2016,Religi,,,Indonesia,Solo,NONE,,,,<Tethy Ezokanzo>,,<10648>
Anak Sehat 100 Solusi dr. Tiwi Panduan Lengkap Kesehatan Bayi 0-24 Bulan,Text,,978-979-099-614-4,Penerbit Erlangga,2011,Kesehatan,,,Indonesia,jakarta,NONE,,,,"<dr. I Gusti Ayu Nyoman Partiwi, SpAMARS>",,<10647>
Pastry Preneur,Text,,978-602-6328-15-1,Metagraf Creative Imprint of Tiga Serangai,2016,Refrensi,,,Indonesia,Solo,NONE,,,,<M. Husin Syarbini. STP>,,<10646>
Curie & Radioaktivitas,Text,,979-688-476-3,Penerbit Erlangga,2001,Biografi,,,Indonesia,jakarta,NONE,,,,<Paul Strarhern>,,<10645>
One Fine Day,Text,,978-979-099-042-5,Penerbit Erlangga,2007,komik,,,Indonesia,jakarta,NONE,,,,<Damaring Tyas W.>,,<10644>
"Ya Rabb, Aku Galau",Text,,008-207-016-0,Penerbit Erlangga,2014,Novel,,,Indonesia,jakarta,NONE,,,,<Aida Ahmad><Ummi K. Miqdar>,,<10583><10584><10585><10586><10587><10588><10589><10590><10591><10643>
Gajah Muda Makar Dharmaputra,Text,,978-979-084-834-4,Penerbit Tiga Serangkai,2017,Novel,,,Indonesia,Solo,NONE,,,,<Langit Kresna Hariadi>,,<10640><10641><10642>
Gajah Mada Hamukti Moksa,Text,,978-979-084-838-2,Penerbit Tiga Serangkai,2017,Novel,,,Indonesia,Solo,NONE,,,,<Langit Kresna Hariadi>,,<10638><10639>
Gajah Mada Sanga Turnangga Paksowani,Text,,978-979-084-837-5,Penerbit Tiga Serangkai,2017,Novel,,,Indonesia,Solo,NONE,,,,<Langit Kresna Hariadi>,,<10635><10636>
Gajah Mada Takhta Dan Angkara,Text,,978-979-084-835-1,Penerbit Tiga Serangkai,2017,Novel,,,Indonesia,Solo,NONE,,,,<Langit Kresna>,,<10633><10634>
Rahasia Sang Ibu Negara,Text,,978-979-099-874-2,Penerbit Erlangga,2010,Novel,,,Indonesia,jakarta,NONE,,,,<Curtis Sittenfeld>,,<10627><10628><10629><10630><10631><10632>
Kemuning Jaddah,Text,,978-602-70319-2-0,Penerbit Erlangga,2014,Novel,,,Indonesia,jakarta,NONE,,,,<Endri K.>,,<10616><10617><10618><10619><10620><10621><10622><10623><10624><10625><10626>
Komedi ala Persia,Text,,978-979-075-370-9,Penerbit Erlangga,2009,Novel,,,Indonesia,jakarta,NONE,,,,<Firoozeh Dumas>,,<10598><10599><10600><105601><10602><10604><10605><10606><10607><10608><10609><10610><10611><10612><10613><10603>
Cerita Dalam Kehendak,Text,,978-979-033-450-2,Penerbit Erlangga,2008,Novel,,,Indonesia,jakarta,NONE,,,,<Zara Zettira ZR>,,<10592><10593><10594><10595><10596><10597>
The Golden Stories 150 Mozaik Mencerahkan Sepanjang Sejarah,Text,,978-602-0894-62-1,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,,,<Fuad Abdurrahman><Abdullah Nur>,,<10582>
The 22 Folktales Of Bumi Etam East Kalimantan,Text,,978-602-9022-001,,,,,,Indonesia,Bekasi,NONE,,,,<Pardi Suratno><Johansyah Balham>,,<10581>
Si Peramal Cinta,Text,,978-602-7596-18-4,Penerbit Erlangga,2012,,,,Indonesia,jakarta,NONE,,,,<Allison Van Diepen>,,<10580>
Seri Literasi Remaja: Kisah Ramayana,Text,,978-602-6847-05-8,Penerbit Erlangga,2016,,,,Indonesia,jakarta,NONE,,,,<B. Suryosubroto>,,<10579>
Supinah,Text,,979-407-583-3,Balai Pustaka,2001,,,,Indonesia,jakarta,NONE,,,,<Bagin>,,<10578>
Taman Sunyi Sekala,Text,,979-33-0301-8,Penerbit Tiga Serangkai,2006,Novel,,,Indonesia,jakarta,NONE,,,,<Aida Vyansa>,,<10577>
Atheis Roman,Text,,979-407-185-4,Balai Pustaka,2002,Novel,,,Indonesia,jakarta,NONE,,,,<Achdiat K. Mihardja>,,<10576>
Karena Mertua,Text,,979-666-176-4,Balai Pustaka,2001,Novel,,,Indonesia,jakarta,NONE,,,,<Nur Sutan Iskandar>,,<10575>
Azab dan Sengsara,Text,,979-407-168-4,Balai Pustaka,,Novel,,,Indonesia,,NONE,,,,<Merari Siregar>,,<10574>
Pelabuhan Terakhir,Text,,978-979-009-972-5,Penerbit Erlangga,2012,Novel,,,Indonesia,jakarta,NONE,,,,<Roidah>,,<10573>
Perang,Text,,979-444-105-8,PT Pustaka Utama Grafiti,2002,Novel,,,Indonesia,jakarta,NONE,,,,<Putu Wijaya>,,<10572>
Rahasia Rumah Terpencil,Text,,,Penerbit CV Lestari Bandung,2006,,,,Indonesia,Bandung,NONE,,,,<S. Sanibar>,,<10571>
Bunga Rampai dari Hikayat Lama,Text,,979-407 -083-1,Balai Pustaka,2001,,,,Indonesia,jakarta,NONE,,,,<Sasuni Pane>,,<10570>
Hujan Kepagian,Text,,979-407-097-1,Balai Pustaka,1995,cerpen,,,Indonesia,jakarta,NONE,,,,<Nugroho Notosusanto>,,<10569>
Hadiah dari Rantau,Text,,979-665-310-9,Penerbit Angkasa Bandung,2000,cerpen,,,Indonesia,Bandung,NONE,,,,<Ismet Fanany>,,<10568>
Layar Terkambang,Text,,979-407-065-3,Balai Pustaka,2002,,,,Indonesia,jakarta,NONE,,,,<St. Takdir Alisjahbana>,,<10567>
Abu Ubaidah bin Jarrah Sang Kepercayaan Umat Dan Penakluk Negeri Syam,Text,Cetakan Pertama: Juli 2017,978-602-0894-71-3,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Abu_Ubaidah_bin_Jarrah_Sang_Kepercayaan_Umat_Dan_Penakluk_Negeri_Syam.jpg.jpg,,<Muhammad bin Muhammad Hasan Syurrab>,,<10152><10153><10154>
Menggali Kemaslahatan,Text,,,PT Prapen Wiyata,2000,Novel,,,Indonesia,Surabaya,NONE,,,,<Fitri Nisa>,,<10566>
Siapakah John F. Kennedy,Text,,979-759-7998-9,Penerbit PT Grasindo,2008,Novel,,,Indonesia,jakarta,NONE,,,,<Yona Zeldis McDonough>,,<10565>
Siapakah Wolfgang Amadues Mozart?,Text,,979-732-418-4,Penerbit PT Grasindo,2008,Novel,,,Indonesia,jakarta,NONE,,,,<Yona Zeldis McDonough>,,<10564>
Novel Pangeran Diponegoro Menggagas Ratu Adil,Text,,978-979-018-064-2,Penerbit Tiga Serangkai,Solo,Novel,,,Indonesia,2007,NONE,,,,<Remy Sylado>,,<10563>
ORB,Text,,978-979-045-111-7,Penerbit Tiga Serangkai,2008,Novel,,,Indonesia,Solo,NONE,,,,<Galang Lufityanto>,,<10562>
Senja Jatuh Di Pajajaran,Text,,978-979-045-240-4,Penerbit Tiga Serangkai,2009,Novel,,,Indonesia,Solo,NONE,,,,<Aan Merdeka Pernama>,,<10561>
Senja Jatuh Di Pajajaran,Text,,978-979-045-308-1,Penerbit Tiga Serangkai,2009,Novel,,,Indonesia,Solo,NONE,,,,<Aan Merdeka Pernama>,,<10560>
Ada Duka Di Wibeng,Text,,979-3414-28-6,PT ERA ADICITRA INTERMEDI,2008,Novel,,,Indonesia,Solo,NONE,,,,<Jazimah Al-Muhyi>,,<10558><10559>
Mata Hati Dina,Text,,978-602-468-273-6,CV Pustaka Media Guru,2018,cerpen,,,Indonesia,Surabaya,NONE,,,,<Tri Sulistini>,,<10556><10557>
Telungatus Candra,Text,,978-602-434-659,Penerbit Erlangga,2017,Novel,,,Indonesia,jakarta,NONE,,,,<Sri Sunarsih>,,<10554><10555>
The Last Barongsay,Text,,308-813-001-0,Penerbit Erlangga,2010,Novel,,,Indonesia,jakarta,NONE,,,,<Pere Sumbada>,,<10552><10553>
Misteri Laut Biru,Text,,979-9133-97-1,CV Purnama elok,2005,Novel,,,Indonesia,,NONE,,,,<Yuliadi>,,<105450><10551>
Menemukan Hati,Text,,308-895-002-0,Penerbit Erlangga,2011,Novel,,,Indonesia,jakarta,NONE,,,,<Zara Zettira ZR>,,<10547><10548><10549>
Cinta Bertabur di Langit Mekah,Text,,,Penerbit Erlangga,2009,Novel,,,Indonesia,jakarta,NONE,,,,<Roidah>,,<10545><10546>
Robert Anak Surapati,Text,,979-407-110-2,Balai Pustaka,1997,Novel,,,Indonesia,jakarta,NONE,,,,<Abdoel Moeis>,,<10543><10544>
The Lost Years Hilangnya Surat sang,Text,,308-813-029-0,Penerbit Erlangga,2014,Novel,,,Indonesia,jakarta,NONE,,,,<Mesias Mary Higgins Clark>,,<10541><10542>
Jalan Menikung Para Priyayi 2,Text,,979-444-421-x,PT Pustaka Utama Grafiti,2002,,,,Indonesia,jakarta,NONE,,,,<Umar Kayam>,,<10506><10537><10538>
Romansa 2 Benua,Text,,808-813-002-0,Penerbit Erlangga,2015,Novel,,,Indonesia,jakarta,NONE,,,,<Pipiet senja>,,<10500><10536>
Para Pencari Keadilan,Text,,808-813-003-0,Penerbit Erlangga,2015,Novel,,,Indonesia,jakarta,NONE,,,,<Pipiet senja>,,<10529><10535>
Gadis Karaoke,Text,,,Sinar Matahari,,Novel,,,Indonesia,jakarta,NONE,,,,<Fredy s.>,,<10530><10534>
Melintas Kebun Buah Kaktus,Text,,,CV. Pusaka Agung,2006,Novel,,,Indonesia,,NONE,,,,<Fitri>,,<10532>
Malam Terang Benderang,Text,,979 9412 08 4,PenerbitTropicasurya Inticipta,2000,,,,Indonesia,jakarta,NONE,,,,<Nawawi A Manan>,,<10531>
Si Peramal Cinta,Text,,308.813.008.0,Penerbit Erlangga,2012,Novel,,,Indonesia,jakarta,NONE,,,,<Allison Van Dating>,,<10528>
Pelarian Romantis,Text,,61.42.039.0,Penerbit Erlangga,2008,Novel,,,Indonesia,jakarta,NONE,,,,<Sarah monk>,,<10527>
Tambo Sebuah Pertemuan,Text,,,PT Grasindo,2002,Novel,,,Indonesia,jakarta,NONE,,,,<Gus tf sakai>,,<10519><10520><10521><10522><10523><10524><10525><10526>
24 Sauh,Text,,61-42-002-1,Penerbit Erlangga,2009,Novel,,,Indonesia,jakarta,NONE,,,,<Tinta Wanita>,,<10514>
Tamu,Text,,979-444-355-7,PT Pustaka Utama Grafiti,2002,Novel,,,Indonesia,jakarta,NONE,,,,<Wisran Hadi>,,<10515><10516><10517><10518>
Pesta Terakhir ...saat Pertolongan Allah Tiba.,Text,,008-813-005-0,Penerbit Erlangga,2014,Novel,,,Indonesia,jakarta,NONE,,,,<Zulkifli L. Muchdi>,,<10501><10509>
Heart of the Matter,Text,,308.813.002.0,Penerbit Erlangga,2010,,,,Indonesia,jakarta,NONE,,,,<Emily Giffin>,,<10508>
Mengenal Pahlawan bangsa,Text,,,PT DIAN MURNI SEATI,,Novel,,,Indonesia,Surabaya,NONE,,,,<W. Ibrahim>,,<10503>
Tidak Hilang Sebuah Nama,Text,,979-3316-42-x,PT ERA ADICITRA INTERMEDI,2008,Novel,,,Indonesia,Solo,NONE,,,,<Galang Lufityanto>,,<10502>
Nutrisi Sehat Bagi Penderita Diabetes,Text,Cetakan Pertama: September 2014,978-602-9212-49-5,Metagraf Creative Imprint of Tiga Serangai,2014,,,613.2 MAG N03/3,Indonesia,Solo,613,,Nutrisi_Sehat_Bagi_Penderita_Diabetes.jpg.jpg,,"<Elaine Magee, M.P.H., R.D.>",,<10248><10249><10250>
It's About Your Flare Of Beauty rnSolusi merawat Kulit Wajah nan Sehat Dan Cantik,Text,,978-602-6328-31-1,,,,,,Indonesia,,NONE,,,,<Lioni Ellis>,,
It's About Your Flare of BeautyrnSolusi Merawat Kulit Wajah Nan Sehat Dan Cantik,Text,Cetakan Pertama: Juli 2017,978-602-6328-31-1,,2017,,,,Indonesia,Solo,NONE,,It's_About_Flare_of_Beauty.jpg.jpg,,<Lioni Ellis>,,<10245><10246><10247>
"Apa Kata Dokter?rnTanya Jawab, Pembahasan, dan Tips-Tips Seputar Kesehatan Anak.",Text,Cetakan Pertama: November 2014,978-602-9212-71-6,Metagraf,2014,,,,Indonesia,Solo,NONE,,Apa_Kata_Dokter..JPG.JPG,,"<dr. Sony Prabowo, Sp.A.><dr. Salma>",,<10242><10243><10244>
Bekal-Bekal Yummy!,Text,Cetakan Pertama: Februari 2017,978-602-366-252-4,Tiga Ananda Creative Imprint of Tiga Serangkai,2017,,,,Indonesia,Solo,NONE,,Bekal-Bekal_Yummy!.jpg.jpg,,<Debby Lukito Goeyardi>,,<10237><10238><10239>
Sehat Alami:rnJajanan Tradisional ala Cafe,Text,Cetakan Pertama: Februari 2016,978-602-73871-0-2,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Sehat_Alami_Jajanan_Tradisional_ala_Cafe.jpg.jpg,,<Leny Herawati>,,<10234><10235><10236>
Single DAD Berbagi Cerita,Text,Cetakan Pertama: November 2017,978-602-6328-41-0,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,Solo,NONE,,Single_DAD_Berbagi_Cerita.jpg.jpg,,<Anna Farida>,,<10231><10232><10233>
Aneka KuernTradisionalrnMelestarikan Budaya Dengan Masakan,Text,Cetakan Pertama: Juli 2016,978-602-6328-10-6,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Aneka_Kue_Tradisional_Melestarikan_Budaya_Dengan_Masakan.jpg.jpg,,<Elmira Arasy><Bejo Wage Suu>,,<10228><10229><10230>
Mid- Career Crisis,Text,Cetakan Pertama: Juli 2017,978-602-6328-32-8,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,Solo,NONE,,Mid-_Career_Crisis.jpg.jpg,,<Ardiningtiyas Pitaloka><M. Husin Syarbini. STP>,,<10226><10227>
88 Resep Warisan Leluhur,Text,Cetakan Pertama: April 2017,978-602-6328-26-7,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,Solo,NONE,,88_Resep_Warisan_Leluhur.jpg.jpg,,<Leny Herawati>,,<10224><10225>
Membangun Madrasah Cinta,Text,,978-602-0894-52-2,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Ina Salma febrianty>,,<10186><10187><10189>
Queen of HeartsrnVolume OnernThe Crown,Text,Cetakan Pertama: April 2015,978-602-72097-7-0,"Metamind, Creative Imprint of Tiga Serangkai",2015,,,,Indonesia,Solo,NONE,,Queen_of_Heart_1_The_Crown.jpg.jpg,,<Colleen Oakes>,,<10223>
100 Masalah Wanita,Text,Cetakan Pertama: November 2015,978-602-0894-12-6,"Tinta Medina, Creative Imprint of Tiga Serangkai",2015,,,,Indonesia,Solo,NONE,,100_Masalah_Wanita.jpg.jpg,,<Ali bin Nayif asy-Syuhud>,,<10219><10220><10221>
Buya HamkarnMemoar Perjalanan Hidup Sang Ulama,Text,Cetakan Pertama: Desember 2017,978-602-0894-89-8,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Buya_Hamka_Memoar_Perjalanan_Hidup_Sang_Ulama.jpg.jpg,,<Yanuardi Syukur><Arlen Ara Guci>,,<10194><10218>
In The Mind of Natali Ardianto,Text,Cetakan Pertama: Oktober 2016,978-602-6328-16-8,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,In_The_Mind_of_Natali_Ardianto.jpg.jpg,,<Natali Ardianto>,,<10215><10216><10217>
Fashion designer,Text,,978-602-6328-46-5,PT Tiga Serangkai Putaka Mandiri,2018,,,,Indonesia,,NONE,,,,<Fitri Aulia>,,<10212>
Akpol Menuju World Class Police Academy,Text,,978-602-60988-0-1,akademi Kepolisian,2017,,,,Indonesia,Semarang,NONE,,,,"<Dr. Anas Yusuf, Dipl. Krim, S.H., M.H.,M.M>",,<10210><10211>
Bekal Awal Bagi Taruna,Text,,,"Bag, Humas Akpol",2017,,,,Indonesia,,NONE,,,,<Humas Akpol>,,<10208><10209>
Merancang Aplikasi Rekam Medis dengan VB.NET,Text,,978-602-02-7579-6,PT Gramedia,2015,,,,Indonesia,jakarta,NONE,,,,"<I Gusti Ngurah Suryantara, S.Kom., M.Kom>",,<10207>
Kumpulan Tips dan Trik Motoyuk Lanskap dan Arsitektur #1,Text,,978-602-00-0423-9,PT Gramedia,2013,,,,Indonesia,jakarta,NONE,,,,<Edo Kurniawan dan Narsiskus Tedy>,,<10206>
MS Excel Untuk Perkantoran Masa Kini,Text,,978-602-02-6689-3,PT Gramedia,2015,,,,Indonesia,jakarta,NONE,,,,<Beranda Agency>,,<10205>
Dapat Kerja itu.... Gampang !,Text,,978-602-02-6228-4,PT Gramedia,2015,,,,Indonesia,jakarta,NONE,,,,"<Agung Triharso, SH>",,<10204>
Al- Biruni,Text,,978-979-91-0543-1,PT Gramedia,2013,,,,Indonesia,jakarta,NONE,,,,<Bill Scheppler>,,<10202><10203>
Membuat Toko Online dengan WordPress dan WP eCommerce,Text,,9.79E+12,PT Elex Media Komputin,2015,,,,Indonesia,jakarta,NONE,,,,<Wahana Komputer>,,<10201>
"101 Life Hacks for TeensrnMudahkan Hari-Harimu""""",Text,Cetakan Pertama: Agustus 2017,978-602-366-328-6,Tiga Ananda Creative Imprint of Tiga Serangkai,2017,,,,Indonesia,Solo,NONE,,101_Life_Hacks_for_Teens.jpg.jpg,,<Debby Lukito Goeyardi><Indah Diana>,,<10198><10199><10200>
Mengenal Pahlawan Nasional 1,Text,2012,978-602-7596-71-9,Esensi Erlangga Group,2012,,,,Indonesia,jakarta,NONE,,Mengenal_Pahlawan_Nasional_1.JPG.JPG,,<Dina Alfiyanti>,,<10193>
Coloring Book Nusantara For AdultrnSumatra and Java Edition,Text,Cetakan Pertama: Mei 2016,978-602-73871-6-4,Metagraf,2016,,,,Indonesia,Solo,NONE,,Coloring_Book_For_Adult_Nusantara_Carolina_Ratri.jpg.jpg,,<Carolina Ratri>,,<10190><10191><10192>
Gabriel Finley,Text,,978-602-72834-8-0,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,<George Hagen>,,<10183><10184><10185>
4 Pemimpin Wanita SurgarnBiografi Dan Kisah Menakjubkan Bidadari Surga,Text,Cetakan Pertama: Juni 2018,978-602-5731-14-3,"Tinta Medina, Creative Imprint of Tiga Serangkai",2018,,,,Indonesia,Solo,NONE,,4_Pemimpin_Wanita_Surga.jpg.jpg,,<Fuad Abdurrahman>,,<10180><10181><10182>
Kisah Dari Bilik Pesantren,Text,,,,2017,,,,Indonesia,,NONE,,,,<Fathurrahman>,,<10179>
Gajah MadarnMakar Dharmaputra,Text,Cetakan Ketiga: Agustus 2017 (Edisi Baru),978-979-084-834-4,PT. Tiga Serangkai Pustaka Mandiri,2017,,,,Indonesia,Solo,NONE,,Gajah_Mada_Makar_Dharmaputra.JPG.JPG,,<Langit Kresna Hariadi>,,<10176><10177><10178>
