"Mengasah Kemampuan Ekonomi Kelas X","Text","","978-979-9281-55-5","Citra Praya","2007","Ekonomi","","","Indonesia","Bandung","NONE","","","","<Bambang Widjajanta><Aristanti Widyaningsih>","","<27230>"
"Ekonomi Platinum Kelas X","Text","KTSP","978-979-018-733-7","PT Tiga Serangkai Pustaka Mandiri","2008","Ekonomi","","","Indonesia","Solo","NONE","","","","<Rusdarti><Kusmuriyanto>","","<27229>"
"Sejarah Platinum Kelas X","Text","KURIKULUM 2013","978-602-257-577-1","PT Tiga Serangkai Pustaka Mandiri","2014","Sejarah Indonesia","","","Indonesia","Solo","NONE","","","","<Herimanto><Eko Targiyatmi>","","<27227><27228>"
"Membangun Wawasan Pancasila dan Kewarganegaraan Platinum Kelas X","Text","KURIKULUM 2013","978-602-257-078-3","PT Tiga Serangkai Pustaka Mandiri","2014","PPKn","","","Indonesia","Surakarta","NONE","","","","<Bambang Tri P.><Sunardi H.S.><Purwanto>","","<27225><27226>"
"Bahasa Indonesia Kebanggaan Bangsaku Platinum Kelas X","Text","KURIKULUM 2013","978-602-257-234-3","PT Tiga Serangkai Pustaka Mandiri","2014","Bahasa Indonesia","","","Indonesia","Surakarta","NONE","","","","<Trisni Sulistyowati><Anang Krisdiyanto>","","<27220><27221><27222><27223><27224>"
"Matematika Platinum Kelas X","Text","KURIKULUM 2013","978-602-257-242-8","PT Tiga Serangkai Pustaka Mandiri","2014","Matematika","","","Indonesia","Solo","NONE","","","","<Indriyastuti><Rosihan Ari Y.>","","<27216><27217><27218><27219>"
"Contextual English Platinum Kelas XI","Text","KURIKULUM 2013","978-602-257-641-9","PT Tiga Serangkai Pustaka Mandiri","2014","Bahasa Inggris","","","Indonesia","Solo","NONE","","","","<Bambang Sugeng>","","<27210><27211><27212><27213>"
"Membangun Wawasan Pancasila dan Kewarganegaraan Platinum Kelas XI","Text","KURIKULUM 2013","978-602-257-078-3","PT Tiga Serangkai Pustaka Mandiri","2014","PPKn","","","Indonesia","Surakarta","NONE","","","","<Bambang Tri P.><Sunardi H.S.>","","<27200><27201><27202><27203><27204>"
"Bahasa Indonesia Kebanggaan Bangsaku Platinum Kelas XI","Text","KURIKULUM 2013","978-602-257-234-3","PT Tiga Serangkai Pustaka Mandiri","2014","Bahasa Indonesia","","","Indonesia","Surakarta","NONE","","","","<Trisni Sulistyowati><Anang Krisdiyanto>","","<27205><27206><27207><27208><27209>"
"Sosiologi Kelas XI KTSP","Text","KTSP 2006","978-979-099-662-5","Penerbit Erlangga","2006","Sosiologi","","","Indonesia","Solo","NONE","","","","<Dra. Kun Maryati><Juju Suryawati, S.pd.>","","<27190><27191><27192><27193><27194><27195><27196><27197><27198><27199>"
"Sosiologi Kelas XII KTSP","Text","KTSP 2006","978-979-099-663-2","Penerbit Erlangga","2006","Sosiologi","","","Indonesia","Solo","NONE","","","","<Dra. Kun Maryati><Juju Suryawati, S.pd.>","","<27180><27181><27182><27183><27184><27185><27186><27187><27188><27189>"
"Sosiologi Kelas XII (Peminatan)","Text","KURIKULUM 2013","978-602-254-135-6","Penerbit Erlangga","2014","Sosiologi","","","Indonesia","Solo","NONE","","","","<Dra. Kun Maryati><Juju Suryawati, S.pd.>","","<27092><27093><27094><27095><27096><27097><27098><27099><27100><27101><27102><27103><27104><27105><27106><27179>"
"Sosiologi Platinum Kelas XI (Peminatan)","Text","EDISI REVISI 2016","978-602-320-149-5","PT Tiga Serangkai Pustaka Mandiri","2017","Sosiologi","","","Indonesia","Solo","NONE","","","","<Dwi Mulyono>","","<27107><27108><27109><27110><27111><27112><27113><27114><27115><27116><27117><27118><27119><27120><27121><27122><27123><27124><27125><27126><27127><27128><27129><27130><27131><27132><27133><27134><27135><27136><27137><27138><27139><27140><27141><27142><27143><27144><27145><27146><27147><27148><27149><27150><27151><27152><27153><27154><27155><27156><27157><27158><27159><27160><27161><27162><27163>"
"Sosiologi Platinum Kelas X","Text","KURIKULUM 2013","978-602-257-872-7","PT Tiga Serangkai Pustaka Mandiri","2014","Sosiologi","","","Indonesia","Solo","NONE","","","","<Siti Khoiriyah>","","<26962><26963><26964><26965><26966><26967><26968><26969><26970><26971><26972><26973><26974><26975><26976><26977><26978><26979><26980><26981><26982><26983><26984><26985><26986><26987><26988><26989><26990><26991><26992><26993><26994><26995><26996><26997><26998><26999><27000><27001><27002><27003><27004><27005><27006><27007><27008><27009><27010><27011><27012><27013><27014><27015><27016><27017><27018><27019><27020><27021><27022><27023><27024><27025><27026><27027><27028><27029><27030><27031><27032><27033><27034><27035><27036><27037><27038><27039><27040><27041><27042><27043><27044><27045><27046><27047><27048><27049><27050><27051><27052><27053><27054><27055><27056><27057><27058><27059><27060><27061><27062><27063><27064><27065><27066><27067><27068><27069><27070><27071><27072><27073><27074><27075><27076><27077><27078><27079><27080><27081><27082><27083><27084><27085><27086><27087><27088><27089><27090><27091><27164><27165><27166><27167><27168><27169><27170><27171><27172><27173><27174><27175><27176><27177><27178>"
"Sosiologi dan Antropologi Kelas X","Text","KURIKULUM 2013","978-602-254-028-1","Penerbit Erlangga","2013","Sosiologi","","","Indonesia","Solo","NONE","","","","<Dra. Kun Maryati><Juju Suryawati, S.pd.>","","<26937><26938><26939><26940><26941><26942><26943><26944><26945><26946><26947><26948><26949><26950><26951><26952><26953><26954><26955><26956><26957><26958><26959><26960><26961>"
"Sosiologi Kelas XI K-13 (Peminatan)","Text","KURIKULUM 2013","978-602-254-134-9","Penerbit Erlangga","2014","Sosiologi","","","Indonesia","Solo","NONE","","","","<Dra. Kun Maryati><Juju Suryawati, S.pd.>","","<26924><26925><26926><26927><26928><26929><26930><26931><26932><26933><26934><26935><26936>"
"Menjelajah Dunia Biologi Kelas XI (Peminatan)","Text","EDISI REVISI","978-602-257-388-3","PT Tiga Serangkai Pustaka Mandiri","2016","Biologi","","","Indonesia","Solo","NONE","","","","<Sri Pujiyanto><Rejeki Siti Ferniah>","","<26904><26905><26906><26907><26908><26909><26910><26911><26912><26913><26914><26915><26916><26917><26918><26919><26920><26921><26922><26923>"
"Perspektif Matematika Kelas XI (Peminatan)","Text","EDISI REVISI","978-602-257-384-5","PT Tiga Serangkai Pustaka Mandiri","2016","Matematika","","","Indonesia","Solo","NONE","","","","<Rosihan Ari Yuana><Indriyastuti>","","<26701><26702><26703><26704><26705><26706><26707><26708><26709><26710><26711><26712><26713><26714><26715><26716><26717><26718><26719><26720><26721><26722><26723><26724><26725><26726><26727><26728><26729><26730><26731><26732><26733><26734><26735><26736><26737><26738><26739><26740><26741><26742><26743><26744><26745><26746><26747><26748><26749><26750><26751><26752><26753><26754><26755><26756><26757><26758><26759><26760><26761><26762><26763><26764><26765><26766><26767><26768><26769><26770><26771><26772><26773><26774><26775><26776><26777><26778><26779><26780><26781><26782><26783><26784><26785><26786><26787><26788><26789><26790><26791><26792><26793><26794><26795><26796><26797><26798><26799><26800><26801><26802><26803><26804><26805><26806><26807><26808><26809><26810><26811><26812><26813><26814><26815><26816><26817><26818><26819><26820><26821><26822><26823><26824><26825><26826><26827><26828><26829><26830><26831><26832><26833><26834><26835><26836><26837><26838><26839><26840><26841><26842><26843><26844><26845><26846><26847><26848><26849><26850><26851><26852><26853><26854><26855><26856><26857><26858><26859><26860><26861><26862><26863><26864><26865><26866><26867><26868><26869><26870><26871><26872><26873><26874><26875><26876><26877><26878><26879><26880><26881><26882><26883><26884><26885><26886><26887><26888><26889><26890><26891><26892><26893><26894><26895><26896><26897><26898><26899><26900><26901><26902><26903>"
"Kajian Konsep Fisika Kelas XI K-13 (Peminatan)","Text","KURIKULUM 2013","978-602-257-392-0","PT Tiga Serangkai Pustaka Mandiri","2014","Fisika","","","Indonesia","Solo","NONE","","","","<Muhammad Farchani Rosyid><Rachmad Resmiyanto><Atsnaita Yasrina><Eko Firmansah>","","<26345><26346><26347><26348><26349><26350><26351><26352><26353><26354><26355><26356><26357><26358><26359><26360><26361><26362><26363><26364><26365><26366><26367><26368><26369><26370><26371><26372><26373><26374><26375><26376><26377>"
"Kajian Konsep Fisika Kelas XI EDISI REVISI (Peminatan)","Text","EDISI REVISI","978-602-257-392-0","PT Tiga Serangkai Pustaka Mandiri","2016","Fisika","","","Indonesia","Solo","NONE","","","","<Muhammad Farchani Rosyid><Rachmad Resmiyanto><Atsnaita Yasrina><Eko Firmansah>","","<26378><26379><26380><26381><26382><26383><26384><26385><26386><26387><26388><26389><26390><26391><26392><26393><26394><26395><26396><26397><26398><26399><26400><26401><26402><26403><26404><26405><26406><26407><26408><26409><26410><26411><26412><26413><26414><26415><26416><26417><26418><26419><26420><26421><26422><26423><26424><26425><26426><26427><26428><26429><26430><26431><26432><26433><26434><26435><26436><26437><26438><26439><26440><26441><26442><26443><26444><26445><26446><26447><26448><26449><26450><26451><26452><26453><26454><26455><26456><26457><26458><26459><26460><26461><26462><26463><26464><26465><26466><26467><26468><26469><26470><26471><26472><26473><26474><26475><26476><26477><26478><26479><26480><26481><26482><26483><26484><26485><26486><26487><26488><26489><26490><26491><26492><26493><26494><26495><26496><26497><26498><26499><26500><26501><26502><26503><26504><26505><26506><26507><26508><26509><26510><26511><26512><26513><26514><26515><26516><26517><26518><26519><26520><26521><26522><26523><26524><26525><26526><26527><26528><26529><26530><26531><26532><26533><26534><26535><26536><26537><26538><26539><26540><26541><26542><26543><26544><26545><26546><26547><26548><26549><26550><26551><26552><26553><26554><26555><26556><26557><26558><26559><26560><26561><26562><26563><26564><26565><26566><26567><26568><26569><26570><26571>"
"Seni Budaya Kelas XI Semester 2","Text","EDISI REVISI 2017","978-602-427-142-8","Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud","2017","Seni Budaya","","","Indonesia","jakarta","NONE","","","","<Sem Cornelyoes Bangun><Siswandi><Tati Narawati><Jose Rizal Manua>","","<25973><25974><25975><25976><25977><25978><25979><25980><25981><25982><25983><25984><25985><25986><25987><25988><25989><25990><25991><25992><25993><25994><25995><25996><25997><25998><25999><26000><26001><26002><26003><26004><26005><26006><26007><26008><26009><26010><26011><26012><26013><26014><26015><26016><26017><26018><26019><26020><26021><26022><26023><26024><26025><26026><26027><26028><26029><26030><26031><26032><26033><26034><26035><26036><26037><26038><26039><26040><26041><26042><26043><26044><26045><26046><26047><26048><26049><26050><26051><26052><26053><26054><26055><26056><26057><26058><26059><26060><26061><26062><26063><26064><26065><26066><26067><26068><26069><26070><26071><26072><26073><26074><26075><26076><26077><26078><26079><26080><26081><26082><26083><26084><26085><26086><26087><26088><26089><26090><26091><26092><26093><26094><26095><26096><26097><26098><26099><26100><26101><26102><26103><26104><26105><26106><26107><26108><26109><26110><26111><26112><26113><26114><26115><26116><26117><26118><26119><26120><26121><26122><26123><26124><26125><26126><26127><26128><26129><26130><26131><26132><26133><26134><26135><26136><26137><26138><26139><26140><26141><26142><26143><26144><26145><26146><26147><26148><26149><26150><26151><26152><26153><26154><26155><26156><26157><26158><26159><26160><26161><26162><26163><26164><26165><26166><26167><26168><26169><26170><26171><26172><26173><26174><26175><26176><26177><26178><26179><26180><26181><26182><26183><26184><26185><26186><26187><26188><26189><26190><26191><26192><26193><26194><26195><26196><26197><26198><26199><26200><26201><26202><26203><26204><26205><26206><26207><26208><26209><26210><26211><26212><26213><26214><26215><26216><26217><26218><26219><26220><26221><26222><26223><26224><26225><26226><26227><26228><26229><26230><26231><26232><26233><26234><26235><26236><26237><26238><26239><26240><26241><26242><26243><26244><26245><26246><26247><26248><26249><26250><26251><26252><26253><26254><26255><26256><26257><26258><26259><26260><26261><26262><26263><26264><26265><26266><26267><26268><26269><26270><26271><26272><26273><26274><26275><26276><26277><26278><26279><26280><26281><26282><26283><26284><26285><26286><26287><26288><26289><26290><26291><26292><26293><26294><26295><26296><26297><26298><26299><26300><26301><26302><26303><26304><26305><26306><26307><26308><26309><26310><26311><26312><26313><26314><26315><26316><26317><26318><26319><26320><26321><26322><26323><26324><26326><26325><26327><26328><26329><26330><26331><26332><26333><26334><26335><26336><26337><26338><26339><26340><26341><26342><26343><26344>"
"Seni Budaya Kelas XI Semester 1","Text","EDISI REVISI 2017","978-602-427-142-8","Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud","2017","Seni Budaya","","","Indonesia","jakarta","NONE","","","","<Sem Cornelyoes Bangun><Siswandi><Tati Narawati><Jose Rizal Manua>","","<25702><25703><25704><25705><25706><25707><25708><25709><25710><25711><25712><25713><25714><25715><25716><25717><25718><25719><25720><25721><25722><25723><25724><25725><25726><25727><25728><25729><25730><25731><25732><25733><25734><25735><25736><25737><25738><25739><25740><25741><25742><25743><25744><25745><25746><25747><25748><25749><25750><25751><25752><25753><25754><25755><25756><25757><25758><25759><25760><25761><25762><25763><25764><25765><25766><25767><25768><25769><25770><25771><25772><25773><25774><25775><25776><25777><25778><25779><25780><25781><25782><25783><25784><25785><25786><25787><25788><25789><25790><25791><25792><25793><25794><25795><25796><25797><25798><25799><25800><25801><25802><25803><25804><25805><25806><25807><25808><25809><25810><25811><25812><25813><25814><25815><25816><25817><25818><25819><25820><25821><25822><25823><25824><25825><25826><25827><25828><25829><25830><25831><25832><25833><25834><25835><25836><25837><25838><25839><25840><25841><25842><25843><25844><25845><25846><25847><25848><25849><25850><25851><25852><25853><25854><25855><25856><25857><25858><25859><25860><25861><25862><25863><25864><25865><25866><25867><25868><25869><25870><25871><25872><25873><25874><25875><25876><25877><25878><25879><25880><25881><25882><25883><25884><25885><25886><25887><25888><25889><25890><25891><25892><25893><25894><25895><25896><25897><25898><25899><25900><25901><25902><25903><25904><25905><25906><25907><25908><25909><25910><25911><25912><25913><25914><25915><25916><25917><25918><25919><25920><25921><25922><25923><25924><25925><25926><25927><25928><25929><25930><25931><25932><25933><25934><25935><25936><25937><25938><25939><25940><25941><25942><25943><25944><25945><25946><25947><25948><25949><25950><25951><25952><25953><25954><25955><25956><25957><25958><25959><25960><25961><25962><25963><25964><25965><25966><25967><25968><25969><25970><25971><25972>"
"Mengaransemen dan Menyajikan Lagu Mencanegara","Text","","978-979-28-1544-3","PT Intan Pariwara","2013","Umum","","","Indonesia","Klaten","NONE","","","","<Supriyantiningtyas>","","<32008>"
"Zamrud Khatulistiwa Negeri yang kurang Nyaman","Text","","602-8799-10-2","PT Citra Aji Parama","2010","Umum","","","Indonesia","Yogyakarta","NONE","","","","<Ubed Abdillah Syarif>","","<32007>"
"Mamalia Darat Irian Jaya","Text","","979-511-890-0","PT Gramedia Pustaka Utama","1994","Umum","","","Indonesia","jakarta","NONE","","","","<Ronald petocz>","","<32002>"
"Panduan Menulis Laporan","Text","","979-1464-52-9","PT Citra Aji Parama","2008","Bahasa Indonesia","","","Indonesia","Yogyakarta","NONE","","","","<Farida Puji P>","","<32001>"
"Rahasia Bahasa Tubuh (Sibak tabir bahasa tubuh untuk memikat hati si dia)","Text","","979-781-382-7","Esensi Erlangga Group","2006","Umum","","","Indonesia","jakarta","NONE","","","","<Martin Lloyd-Elliott>","","<32000>"
"Hak dan Kewajiban Penduduk Indonesia Menurut UUD 1945","Text","","979-662-676-2","PT Cempaka Putih","2016","Umum","","","Indonesia","Klaten","NONE","","","","<Zudan Arif Fakrulloh><Endar Wismulyani>","","<31999>"
"Meningkatkan Kesuburan untuk Kehamilan Alami","Text","","979-781-556-0","Esensi Erlangga Group","2005","Umum","","","Indonesia","jakarta","NONE","","","","<Anne Charlish><Kim Davies>","","<31998>"
"Karya Seni Dunia (membuat Karya Seni yang Indah dan Unik dari berbagai Belahan Dunia)","Text","","979-33-0674-2","PT. Tiga Serangkai Pustaka Mandiri","2007","Umum","","","Indonesia","Solo","NONE","","","","<Sue Nicholson>","","<31997>"
"Planet Bumi dan Ruang Angkasa","Text","","602-9122-73-2","Saka Mitra Kompetensi","2015","Umum","","","Indonesia","Klaten","NONE","","","","<Eka Susi Sulistyowati>","","<31996>"
"Kesempatan Hidup Kedua","Text","","978-979-099-836-0","Penerbit Erlangga","2012","","","","Indonesia","jakarta","NONE","","","","<Roidah>","","<30587><30588><30589><31995>"
"Mau Kemana Setelah SMA ?","Text","","978-602-7596-60-3","Esensi Erlangga Group","2013","Referensi","","","Indonesia","jakarta","NONE","","","","<Wulan Ayodya>","","<30520><30566><30812><31994>"
"Sukses Berbisnis ala rasulullah SAW","Text","","978-602-241-080-5","Penerbit Erlangga","2012","Umum","","","Indonesia","jakarta","NONE","","","","<Mokh. Syaiful Bakhri, S.Sos><Abdussalam, S.E.I>","","<31815><31993>"
"September","Text","","979-33-0315-8","PT. Tiga Serangkai Pustaka Mandiri","2006","Fiksi","","","Indonesia","Solo","NONE","","","","<Noorca M. Massardi>","","<31992>"
"Taktik Jitu Lolos Psikotes Gambar","Text","","","PT Grasindo","2016","Referensi","","","Indonesia","jakarta","NONE","","","","<Sugi Siswiyanti>","","<30784><31990><31991>"
"Bobby Earl Freeberg & RI-002 Mantan Pilot Angkatan laut Amerika Serikat Berjuang Untuk Kemerdekaan Indonesia","Text","","978-979-709-965-7","PT Kompas Media Nusantara","2015","Non Fiksi","","","Indonesia","jakarta","NONE","","","","<Hendri F. Isnaeni>","","<31989>"
